repo	milestone	round	issue_slug	title	size	depends_on	files_touched	notes
paideia-os	r29-driver-substrate	R29	R29-M3-002	Driver telemetry ring: per-driver kmsg equivalent	S	R29-M3-001	src/kernel/core/driver/telemetry.pdx	per-process log ring; capped size
paideia-os	r29-driver-substrate	R29	R29-M3-003	Driver capability manifest DSL	M	R29-M2-002	src/toolchain/driver_manifest/dsl.pdx design/drivers/manifest-dsl.md	declarative: cap set + effect row + IRQ/DMA needs
paideia-os	r29-driver-substrate	R29	R29-M3-004	Driver reload without kernel restart (hot-reset path)	L	R29-M2-004	src/kernel/core/driver/hot_reload.pdx	quiesce → detach → reattach
paideia-os	r29-driver-substrate	R29	R29-M4-001	Chaos-restart harness (fault-injection into any driver)	L	R29-M2-004	tests/chaos/driver_restart.pdx	kills driver at random state; asserts survivor invariants
paideia-os	r29-driver-substrate	R29	R29-M4-002	Driver framework unit-test fixtures (mock IRQ + mock DMA)	M	R29-M2-001	tests/framework/mock_irq.pdx tests/framework/mock_dma.pdx	reusable test harness for later rounds
paideia-os	r29-driver-substrate	R29	R29-M4-003	Effect-row aggregate: !{DriverEffects}	S	R29-M3-001	design/toolchain/effect-vocabulary.md src/toolchain/effect_row.pdx	P15 mitigation; documents top-level vocab
paideia-os	r29-driver-substrate	R29	R29-M5-001	Fingerprint gate: R29 QEMU witness suite	M	R29-M4-001	tools/hw-smoke-r29.md tests/witnesses/r29/*.pdx	D7 QEMU-OVMF structural witness
paideia-os	r29-driver-substrate	R29	R29-M5-002	T14 G4 real-HW recipe: tools/hw-smoke-r29.md	S	R29-M5-001	tools/hw-smoke-r29.md	D7 T14 recipe; operator-triggered
paideia-os	r29-driver-substrate	R29	R29-M6-001	R29 hardening pass: FSM invariants asserted at every transition	M	R29-M2-001	src/kernel/core/driver/lifecycle.pdx	close-out invariant discipline
paideia-os	r29-driver-substrate	R29	R29-M6-002	R29 pitfall register wire-up (P12 blob policy, P14 slot 14, P15 effects)	S	R29-M1-002	design/roadmap/next-wave-pitfalls.md	cross-reference sink
paideia-os	r29-driver-substrate	R29	R29-M7-001	R29 documentation sweep + derived-kinds table	M	R29-M1-006	design/architecture/next-wave-derived-kinds.md	78-row derived-kind catalogue from synthesis §5
paideia-os	r29-driver-substrate	R29	R29-M7-002	R29 audit-record schema documented	S	R29-M3-001	design/audit/driver-schema.md	wire spec
paideia-os	r29-driver-substrate	R29	R29-M8-001	R29 closure: round-retrospective doc	S	R29-M6-001	design/round-retrospectives/r29-closed.md	close-out
paideia-os	r29-driver-substrate	R29	R29-M8-002	R29 tag + submodule bump if paideia-as v0.25 landed	S	R29-M8-001	STATUS.md .gitmodules	tag r29-closed
paideia-os	r29-driver-substrate	R29	R29-M8-003	R29 → R30 handoff doc (ACPICA prereqs listed)	S	R29-M8-001	design/round-retrospectives/r29-closed.md	R30 kickoff signal
paideia-os	r29-driver-substrate	R29	R29-M8-004	R29 milestone-close notice + label prune	S	R29-M8-001	-	GH housekeeping
paideia-os	r30-acpica-lpss	R30	R30-M1-001	R30.M1-001 ACPICA userspace bubble bootstrap + AML lexer/parser #1	M	R29-M8-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M1-002	R30.M1-002 ACPICA userspace bubble bootstrap + AML lexer/parser #2	M	R30-M1-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M1-003	R30.M1-003 ACPICA userspace bubble bootstrap + AML lexer/parser #3	M	R30-M1-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M1-004	R30.M1-004 ACPICA userspace bubble bootstrap + AML lexer/parser #4	M	R30-M1-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M1-005	R30.M1-005 ACPICA userspace bubble bootstrap + AML lexer/parser #5	M	R30-M1-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M1-006	R30.M1-006 ACPICA userspace bubble bootstrap + AML lexer/parser #6	M	R30-M1-001	src/user/acpica/aml_parser.pdx src/user/acpica/opcodes.pdx	ACPICA userspace bubble bootstrap + AML lexer/parser (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-001	R30.M2-001 AML interpreter core (data types + control flow + method invoke) #1	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-002	R30.M2-002 AML interpreter core (data types + control flow + method invoke) #2	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-003	R30.M2-003 AML interpreter core (data types + control flow + method invoke) #3	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-004	R30.M2-004 AML interpreter core (data types + control flow + method invoke) #4	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-005	R30.M2-005 AML interpreter core (data types + control flow + method invoke) #5	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M2-006	R30.M2-006 AML interpreter core (data types + control flow + method invoke) #6	M	R30-M1-001	src/user/acpica/interpreter.pdx	AML interpreter core (data types + control flow + method invoke) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M3-001	R30.M3-001 KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes #1	M	R30-M1-001	src/kernel/core/cap/kind_fw_session.pdx src/kernel/core/cap/kind_op_region.pdx	KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M3-002	R30.M3-002 KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes #2	M	R30-M1-001	src/kernel/core/cap/kind_fw_session.pdx src/kernel/core/cap/kind_op_region.pdx	KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M3-003	R30.M3-003 KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes #3	M	R30-M1-001	src/kernel/core/cap/kind_fw_session.pdx src/kernel/core/cap/kind_op_region.pdx	KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M3-004	R30.M3-004 KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes #4	M	R30-M1-001	src/kernel/core/cap/kind_fw_session.pdx src/kernel/core/cap/kind_op_region.pdx	KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M3-005	R30.M3-005 KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes #5	M	R30-M1-001	src/kernel/core/cap/kind_fw_session.pdx src/kernel/core/cap/kind_op_region.pdx	KIND_FW_SESSION + KIND_OP_REGION derived caps + reads/writes (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M4-001	R30.M4-001 LPSS I2C controller enumeration + KIND_I2C_BUS mint #1	M	R30-M1-001	src/kernel/drivers/lpss/i2c.pdx src/kernel/core/cap/kind_i2c_bus.pdx	LPSS I2C controller enumeration + KIND_I2C_BUS mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M4-002	R30.M4-002 LPSS I2C controller enumeration + KIND_I2C_BUS mint #2	M	R30-M1-001	src/kernel/drivers/lpss/i2c.pdx src/kernel/core/cap/kind_i2c_bus.pdx	LPSS I2C controller enumeration + KIND_I2C_BUS mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M4-003	R30.M4-003 LPSS I2C controller enumeration + KIND_I2C_BUS mint #3	M	R30-M1-001	src/kernel/drivers/lpss/i2c.pdx src/kernel/core/cap/kind_i2c_bus.pdx	LPSS I2C controller enumeration + KIND_I2C_BUS mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M4-004	R30.M4-004 LPSS I2C controller enumeration + KIND_I2C_BUS mint #4	M	R30-M1-001	src/kernel/drivers/lpss/i2c.pdx src/kernel/core/cap/kind_i2c_bus.pdx	LPSS I2C controller enumeration + KIND_I2C_BUS mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M4-005	R30.M4-005 LPSS I2C controller enumeration + KIND_I2C_BUS mint #5	M	R30-M1-001	src/kernel/drivers/lpss/i2c.pdx src/kernel/core/cap/kind_i2c_bus.pdx	LPSS I2C controller enumeration + KIND_I2C_BUS mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M5-001	R30.M5-001 LPSS GPIO controller + KIND_GPIO_LINE mint #1	M	R30-M1-001	src/kernel/drivers/lpss/gpio.pdx src/kernel/core/cap/kind_gpio_line.pdx	LPSS GPIO controller + KIND_GPIO_LINE mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M5-002	R30.M5-002 LPSS GPIO controller + KIND_GPIO_LINE mint #2	M	R30-M1-001	src/kernel/drivers/lpss/gpio.pdx src/kernel/core/cap/kind_gpio_line.pdx	LPSS GPIO controller + KIND_GPIO_LINE mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M5-003	R30.M5-003 LPSS GPIO controller + KIND_GPIO_LINE mint #3	M	R30-M1-001	src/kernel/drivers/lpss/gpio.pdx src/kernel/core/cap/kind_gpio_line.pdx	LPSS GPIO controller + KIND_GPIO_LINE mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M5-004	R30.M5-004 LPSS GPIO controller + KIND_GPIO_LINE mint #4	M	R30-M1-001	src/kernel/drivers/lpss/gpio.pdx src/kernel/core/cap/kind_gpio_line.pdx	LPSS GPIO controller + KIND_GPIO_LINE mint (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M6-001	R30.M6-001 EC OpRegion binding + I2C slave discovery #1	M	R30-M1-001	src/kernel/drivers/ec/opregion.pdx	EC OpRegion binding + I2C slave discovery (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M6-002	R30.M6-002 EC OpRegion binding + I2C slave discovery #2	M	R30-M1-001	src/kernel/drivers/ec/opregion.pdx	EC OpRegion binding + I2C slave discovery (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M6-003	R30.M6-003 EC OpRegion binding + I2C slave discovery #3	M	R30-M1-001	src/kernel/drivers/ec/opregion.pdx	EC OpRegion binding + I2C slave discovery (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M6-004	R30.M6-004 EC OpRegion binding + I2C slave discovery #4	M	R30-M1-001	src/kernel/drivers/ec/opregion.pdx	EC OpRegion binding + I2C slave discovery (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M7-001	R30.M7-001 R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core #1	M	R30-M1-001	src/user/acpica/scheduler.pdx	R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M7-002	R30.M7-002 R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core #2	M	R30-M1-001	src/user/acpica/scheduler.pdx	R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M7-003	R30.M7-003 R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core #3	M	R30-M1-001	src/user/acpica/scheduler.pdx	R11 mitigation: HWP-INT round-trip < 2 ms on reserved LP-E core (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M8-001	R30.M8-001 AML corpus regression suite (Linux-verified fixtures) #1	M	R30-M1-001	tests/acpica/corpus/*.aml	AML corpus regression suite (Linux-verified fixtures) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M8-002	R30.M8-002 AML corpus regression suite (Linux-verified fixtures) #2	M	R30-M1-001	tests/acpica/corpus/*.aml	AML corpus regression suite (Linux-verified fixtures) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M8-003	R30.M8-003 AML corpus regression suite (Linux-verified fixtures) #3	M	R30-M1-001	tests/acpica/corpus/*.aml	AML corpus regression suite (Linux-verified fixtures) (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M9-001	R30.M9-001 QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions #1	M	R30-M1-001	tools/hw-smoke-r30.md tests/hw/dsdt_capture.pdx	QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M9-002	R30.M9-002 QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions #2	M	R30-M1-001	tools/hw-smoke-r30.md tests/hw/dsdt_capture.pdx	QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M9-003	R30.M9-003 QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions #3	M	R30-M1-001	tools/hw-smoke-r30.md tests/hw/dsdt_capture.pdx	QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions (auto-scaffold; refine at body-drafting)
paideia-os	r30-acpica-lpss	R30	R30-M9-004	R30.M9-004 QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions #4	M	R30-M1-001	tools/hw-smoke-r30.md tests/hw/dsdt_capture.pdx	QEMU + T14 G4 DSDT/SSDT capture across >=3 BIOS revisions (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M1-001	R31.M1-001 EC query interface + KIND_EC_QUERY mint #1	M	R30-M8-001	src/kernel/drivers/ec/query.pdx src/kernel/core/cap/kind_ec_query.pdx	EC query interface + KIND_EC_QUERY mint (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M1-002	R31.M1-002 EC query interface + KIND_EC_QUERY mint #2	M	R31-M1-001	src/kernel/drivers/ec/query.pdx src/kernel/core/cap/kind_ec_query.pdx	EC query interface + KIND_EC_QUERY mint (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M1-003	R31.M1-003 EC query interface + KIND_EC_QUERY mint #3	M	R31-M1-001	src/kernel/drivers/ec/query.pdx src/kernel/core/cap/kind_ec_query.pdx	EC query interface + KIND_EC_QUERY mint (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M1-004	R31.M1-004 EC query interface + KIND_EC_QUERY mint #4	M	R31-M1-001	src/kernel/drivers/ec/query.pdx src/kernel/core/cap/kind_ec_query.pdx	EC query interface + KIND_EC_QUERY mint (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M2-001	R31.M2-001 Battery driver + KIND_BATTERY cap + charge/discharge state #1	M	R31-M1-001	src/kernel/drivers/battery/*.pdx	Battery driver + KIND_BATTERY cap + charge/discharge state (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M2-002	R31.M2-002 Battery driver + KIND_BATTERY cap + charge/discharge state #2	M	R31-M1-001	src/kernel/drivers/battery/*.pdx	Battery driver + KIND_BATTERY cap + charge/discharge state (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M2-003	R31.M2-003 Battery driver + KIND_BATTERY cap + charge/discharge state #3	M	R31-M1-001	src/kernel/drivers/battery/*.pdx	Battery driver + KIND_BATTERY cap + charge/discharge state (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M3-001	R31.M3-001 AC adapter + charge control gating #1	M	R31-M1-001	src/kernel/drivers/ac_adapter.pdx	AC adapter + charge control gating (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M3-002	R31.M3-002 AC adapter + charge control gating #2	M	R31-M1-001	src/kernel/drivers/ac_adapter.pdx	AC adapter + charge control gating (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M3-003	R31.M3-003 AC adapter + charge control gating #3	M	R31-M1-001	src/kernel/drivers/ac_adapter.pdx	AC adapter + charge control gating (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M4-001	R31.M4-001 Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE #1	M	R31-M1-001	src/kernel/drivers/thermal/*.pdx	Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M4-002	R31.M4-002 Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE #2	M	R31-M1-001	src/kernel/drivers/thermal/*.pdx	Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M4-003	R31.M4-003 Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE #3	M	R31-M1-001	src/kernel/drivers/thermal/*.pdx	Thermal zone + KIND_THERMAL_ZONE + KIND_COOLING_DEVICE (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M5-001	R31.M5-001 Fan control + PWM cooling #1	M	R31-M1-001	src/kernel/drivers/fan.pdx	Fan control + PWM cooling (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M5-002	R31.M5-002 Fan control + PWM cooling #2	M	R31-M1-001	src/kernel/drivers/fan.pdx	Fan control + PWM cooling (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M5-003	R31.M5-003 Fan control + PWM cooling #3	M	R31-M1-001	src/kernel/drivers/fan.pdx	Fan control + PWM cooling (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M6-001	R31.M6-001 Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap #1	M	R31-M1-001	src/kernel/drivers/backlight/*.pdx	Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M6-002	R31.M6-002 Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap #2	M	R31-M1-001	src/kernel/drivers/backlight/*.pdx	Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M6-003	R31.M6-003 Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap #3	M	R31-M1-001	src/kernel/drivers/backlight/*.pdx	Backlight (PWM + DP-AUX) + KIND_BACKLIGHT cap (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M7-001	R31.M7-001 Hotkeys + lid + power button + ThinkPad HKEY events #1	M	R31-M1-001	src/kernel/drivers/hotkey/*.pdx	Hotkeys + lid + power button + ThinkPad HKEY events (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M7-002	R31.M7-002 Hotkeys + lid + power button + ThinkPad HKEY events #2	M	R31-M1-001	src/kernel/drivers/hotkey/*.pdx	Hotkeys + lid + power button + ThinkPad HKEY events (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M7-003	R31.M7-003 Hotkeys + lid + power button + ThinkPad HKEY events #3	M	R31-M1-001	src/kernel/drivers/hotkey/*.pdx	Hotkeys + lid + power button + ThinkPad HKEY events (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M8-001	R31.M8-001 Accelerometer + ambient light sensor via I2C-HID #1	M	R31-M1-001	src/kernel/drivers/sensors/als.pdx	Accelerometer + ambient light sensor via I2C-HID (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M8-002	R31.M8-002 Accelerometer + ambient light sensor via I2C-HID #2	M	R31-M1-001	src/kernel/drivers/sensors/als.pdx	Accelerometer + ambient light sensor via I2C-HID (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M9-001	R31.M9-001 QEMU + T14 recipe hw-smoke-r31.md #1	M	R31-M1-001	tools/hw-smoke-r31.md	QEMU + T14 recipe hw-smoke-r31.md (auto-scaffold; refine at body-drafting)
paideia-os	r31-platform-ec	R31	R31-M9-002	R31.M9-002 QEMU + T14 recipe hw-smoke-r31.md #2	M	R31-M1-001	tools/hw-smoke-r31.md	QEMU + T14 recipe hw-smoke-r31.md (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M1-001	R32.M1-001 I2C-HID transport + KIND_HID_DEVICE mint #1	M	R30-M8-001	src/kernel/drivers/hid/i2c_hid.pdx	I2C-HID transport + KIND_HID_DEVICE mint (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M1-002	R32.M1-002 I2C-HID transport + KIND_HID_DEVICE mint #2	M	R32-M1-001	src/kernel/drivers/hid/i2c_hid.pdx	I2C-HID transport + KIND_HID_DEVICE mint (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M1-003	R32.M1-003 I2C-HID transport + KIND_HID_DEVICE mint #3	M	R32-M1-001	src/kernel/drivers/hid/i2c_hid.pdx	I2C-HID transport + KIND_HID_DEVICE mint (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M1-004	R32.M1-004 I2C-HID transport + KIND_HID_DEVICE mint #4	M	R32-M1-001	src/kernel/drivers/hid/i2c_hid.pdx	I2C-HID transport + KIND_HID_DEVICE mint (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M2-001	R32.M2-001 HID report-descriptor compiler + parser #1	M	R32-M1-001	src/kernel/drivers/hid/descriptor.pdx	HID report-descriptor compiler + parser (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M2-002	R32.M2-002 HID report-descriptor compiler + parser #2	M	R32-M1-001	src/kernel/drivers/hid/descriptor.pdx	HID report-descriptor compiler + parser (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M2-003	R32.M2-003 HID report-descriptor compiler + parser #3	M	R32-M1-001	src/kernel/drivers/hid/descriptor.pdx	HID report-descriptor compiler + parser (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M2-004	R32.M2-004 HID report-descriptor compiler + parser #4	M	R32-M1-001	src/kernel/drivers/hid/descriptor.pdx	HID report-descriptor compiler + parser (auto-scaffold; refine at body-drafting)
paideia-os	r32-hid-sensors	R32	R32-M3-001	R32.M3-001 Unified KIND_HID_EVENT stream + subscribe path #1	M	R32-M1-001	src/kernel/drivers/hid/event_stream.pdx	Unified KIND_HID_EVENT stream + subscribe path (auto-scaffold; refine at body-drafting)
